id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,level,house_age,dormitory_type,condition_type
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170.0,400,1951-01-01,1991,98125,47.721,-122.319,low_level,new_house,house,regular
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715.0,0,1995-01-01,0,98003,47.3097,-122.327,low_level,new_house,house,regular
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890.0,0,2003-01-01,0,98038,47.3684,-122.031,low_level,new_house,house,regular
9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980.0,970,1979-01-01,0,98126,47.5714,-122.375,high_level,new_house,house,regular
1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890.0,0,1994-01-01,0,98019,47.7277,-121.962,low_level,new_house,house,regular
7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270.0,0,1995-01-01,0,98092,47.3266,-122.169,low_level,new_house,house,regular
3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450.0,0,1985-01-01,0,98030,47.3739,-122.172,low_level,new_house,house,
1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750.0,700,1915-01-01,0,98119,47.6386,-122.36,high_level,new_house,house,regular
1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570.0,0,2005-01-01,0,98052,47.7073,-122.11,high_level,new_house,house,regular
8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320.0,0,2003-01-01,0,98027,47.5391,-122.07,high_level,new_house,house,regular
2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360.0,0,1904-01-01,0,98107,47.6702,-122.362,high_level,new_house,house,
2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620.0,0,1996-01-01,0,98056,47.5301,-122.18,high_level,new_house,house,regular
5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570.0,0,2000-01-01,0,98074,47.6145,-122.027,high_level,new_house,house,regular
7203220400,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595.0,0,2014-01-01,0,98053,47.6848,-122.016,high_level,new_house,house,regular
9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570.0,0,1922-01-01,0,98119,47.6413,-122.364,high_level,new_house,house,regular
